# GameN, gameLength, gameElo, minBase, dinBase
2399.0,231.0,2095.6,5.0,16.6
2400.0,164.0,2102.7,5.4,16.4
2401.0,182.0,2110.4,4.8,16.7
2402.0,183.0,2114.3,5.1,16.4
2403.0,200.0,2121.7,5.0,16.7
2404.0,168.0,2112.8,5.2,16.3
2405.0,178.0,2105.8,5.1,16.5
2406.0,198.0,2111.4,5.9,15.8
2407.0,179.0,2103.9,4.1,17.2
2408.0,300.0,2112.0,4.6,16.8
2409.0,223.0,2113.4,5.0,16.6
2410.0,300.0,2118.7,4.7,16.8
2411.0,300.0,2124.4,5.4,16.3
2412.0,182.0,2129.0,5.6,16.0
2413.0,165.0,2120.4,4.3,17.1
2414.0,149.0,2122.6,5.1,16.5
2415.0,158.0,2116.3,3.7,17.6
2416.0,78.0,2116.8,3.4,18.0
2417.0,205.0,2117.1,3.9,17.7
2418.0,288.0,2121.3,4.2,17.2
2419.0,185.0,2113.5,5.1,16.4
2420.0,121.0,2103.6,5.3,16.2
2421.0,219.0,2109.6,4.9,16.5
2422.0,194.0,2116.3,5.0,16.6
2423.0,198.0,2123.4,5.2,16.3
2424.0,203.0,2126.7,4.1,17.3
2425.0,293.0,2130.6,4.1,17.3
2426.0,300.0,2132.4,5.2,16.3
2427.0,300.0,2125.0,6.7,15.1
2428.0,170.0,2131.6,5.0,16.4
2429.0,300.0,2126.5,5.9,15.6
2430.0,216.0,2127.8,4.4,17.0
2431.0,242.0,2133.3,4.6,17.0
2432.0,131.0,2125.6,3.8,17.7
2433.0,179.0,2118.4,5.4,16.2
2434.0,155.0,2121.1,4.6,17.0
2435.0,300.0,2127.1,4.5,16.9
2436.0,229.0,2133.0,4.7,16.9
2437.0,221.0,2125.0,4.8,16.8
2438.0,217.0,2117.4,4.4,17.2
2439.0,152.0,2122.9,4.4,16.9
2440.0,84.0,2129.8,3.7,18.0
2441.0,182.0,2135.1,4.7,17.0
2442.0,300.0,2122.3,5.1,16.6
2443.0,300.0,2126.9,5.3,16.2
2444.0,300.0,2134.4,4.9,16.7
2445.0,174.0,2140.1,4.8,16.9
2446.0,195.0,2137.9,4.2,17.3
2447.0,256.0,2130.1,3.8,17.5
2448.0,214.0,2121.0,4.8,16.7
2449.0,249.0,2127.6,4.8,16.8
2450.0,170.0,2128.5,5.0,16.9
2451.0,239.0,2134.7,4.5,17.1
